Area,Months,Year,Temperature Change,date
Norway,1,1961,0.382,1961-01-01
Norway,2,1961,3.067,1961-02-01
Norway,3,1961,2.468,1961-03-01
Norway,4,1961,-0.239,1961-04-01
Norway,5,1961,0.442,1961-05-01
Norway,6,1961,1.017,1961-06-01
Norway,7,1961,0.556,1961-07-01
Norway,8,1961,-0.108,1961-08-01
Norway,9,1961,1.437,1961-09-01
Norway,10,1961,3.803,1961-10-01
Norway,11,1961,2.219,1961-11-01
Norway,12,1961,-1.628,1961-12-01
Norway,1,1962,0.723,1962-01-01
Norway,2,1962,2.059,1962-02-01
Norway,3,1962,-4.826,1962-03-01
Norway,4,1962,0.589,1962-04-01
Norway,5,1962,-1.141,1962-05-01
Norway,6,1962,-2.327,1962-06-01
Norway,7,1962,-1.686,1962-07-01
Norway,8,1962,-1.736,1962-08-01
Norway,9,1962,-0.593,1962-09-01
Norway,10,1962,1.059,1962-10-01
Norway,11,1962,0.09,1962-11-01
Norway,12,1962,-1.705,1962-12-01
Norway,1,1963,-1.891,1963-01-01
Norway,2,1963,-2.54,1963-02-01
Norway,3,1963,-1.984,1963-03-01
Norway,4,1963,0.55,1963-04-01
Norway,5,1963,3.13,1963-05-01
Norway,6,1963,0.544,1963-06-01
Norway,7,1963,-0.644,1963-07-01
Norway,8,1963,0.889,1963-08-01
Norway,9,1963,1.217,1963-09-01
Norway,10,1963,1.154,1963-10-01
Norway,11,1963,-0.345,1963-11-01
Norway,12,1963,-0.31,1963-12-01
Norway,1,1964,3.765,1964-01-01
Norway,2,1964,0.503,1964-02-01
Norway,3,1964,0.868,1964-03-01
Norway,4,1964,0.91,1964-04-01
Norway,5,1964,1.051,1964-05-01
Norway,6,1964,-1.557,1964-06-01
Norway,7,1964,-0.988,1964-07-01
Norway,8,1964,-0.566,1964-08-01
Norway,9,1964,-0.791,1964-09-01
Norway,10,1964,1.121,1964-10-01
Norway,11,1964,0.2,1964-11-01
Norway,12,1964,0.621,1964-12-01
Norway,1,1965,0.385,1965-01-01
