Area,Months,Year,Temperature Change,date
World,1,1961,0.399,1961-01-01
World,2,1961,0.263,1961-02-01
World,3,1961,0.254,1961-03-01
World,4,1961,0.278,1961-04-01
World,5,1961,0.367,1961-05-01
World,6,1961,0.313,1961-06-01
World,7,1961,0.007,1961-07-01
World,8,1961,-0.001,1961-08-01
World,9,1961,-0.063,1961-09-01
World,10,1961,-0.123,1961-10-01
World,11,1961,0.138,1961-11-01
World,12,1961,-0.217,1961-12-01
World,1,1962,0.104,1962-01-01
World,2,1962,0.218,1962-02-01
World,3,1962,0.279,1962-03-01
World,4,1962,0.027,1962-04-01
World,5,1962,-0.183,1962-05-01
World,6,1962,-0.208,1962-06-01
World,7,1962,-0.035,1962-07-01
World,8,1962,-0.007,1962-08-01
World,9,1962,-0.023,1962-09-01
World,10,1962,0.25,1962-10-01
World,11,1962,0.201,1962-11-01
World,12,1962,0.113,1962-12-01
World,1,1963,-0.171,1963-01-01
World,2,1963,0.563,1963-02-01
World,3,1963,-0.237,1963-03-01
World,4,1963,0.002,1963-04-01
World,5,1963,-0.029,1963-05-01
World,6,1963,-0.12,1963-06-01
World,7,1963,0.208,1963-07-01
World,8,1963,0.159,1963-08-01
World,9,1963,0.374,1963-09-01
World,10,1963,0.653,1963-10-01
World,11,1963,0.392,1963-11-01
World,12,1963,-0.225,1963-12-01
World,1,1964,-0.311,1964-01-01
World,2,1964,-0.409,1964-02-01
World,3,1964,-0.287,1964-03-01
World,4,1964,-0.167,1964-04-01
World,5,1964,-0.097,1964-05-01
World,6,1964,-0.089,1964-06-01
World,7,1964,-0.235,1964-07-01
World,8,1964,-0.362,1964-08-01
World,9,1964,-0.256,1964-09-01
World,10,1964,-0.46,1964-10-01
World,11,1964,-0.135,1964-11-01
World,12,1964,-0.643,1964-12-01
World,1,1965,0.206,1965-01-01
World,2,1965,-0.45,1965-02-01
World,3,1965,-0.272,1965-03-01
World,4,1965,-0.574,1965-04-01
World,5,1965,-0.141,1965-05-01
World,6,1965,-0.036,1965-06-01
World,7,1965,-0.29,1965-07-01
World,8,1965,-0.247,1965-08-01
World,9,1965,-0.146,1965-09-01
World,10,1965,-0.056,1965-10-01
World,11,1965,-0.057,1965-11-01
World,12,1965,0.285,1965-12-01
World,1,1966,0.458,1966-01-01
World,2,1966,0.756,1966-02-01
World,3,1966,0.391,1966-03-01
World,4,1966,-0.018,1966-04-01
World,5,1966,-0.069,1966-05-01
World,6,1966,0.279,1966-06-01
World,7,1966,0.27,1966-07-01
World,8,1966,0.159,1966-08-01
World,9,1966,-0.076,1966-09-01
World,10,1966,0.039,1966-10-01
World,11,1966,-0.063,1966-11-01
World,12,1966,-0.218,1966-12-01
World,1,1967,-0.289,1967-01-01
World,2,1967,-0.557,1967-02-01
World,3,1967,-0.117,1967-03-01
World,4,1967,-0.174,1967-04-01
World,5,1967,0.238,1967-05-01
World,6,1967,-0.354,1967-06-01
World,7,1967,-0.214,1967-07-01
World,8,1967,-0.028,1967-08-01
World,9,1967,-0.016,1967-09-01
World,10,1967,0.332,1967-10-01
World,11,1967,0.025,1967-11-01
World,12,1967,-0.208,1967-12-01
World,1,1968,-0.393,1968-01-01
World,2,1968,-0.412,1968-02-01
World,3,1968,0.423,1968-03-01
World,4,1968,-0.137,1968-04-01
World,5,1968,-0.333,1968-05-01
World,6,1968,-0.217,1968-06-01
World,7,1968,-0.195,1968-07-01
World,8,1968,-0.215,1968-08-01
World,9,1968,0.019,1968-09-01
World,10,1968,-0.007,1968-10-01
World,11,1968,0.237,1968-11-01
World,12,1968,-0.075,1968-12-01
World,1,1969,-0.859,1969-01-01
World,2,1969,-0.658,1969-02-01
World,3,1969,-0.018,1969-03-01
World,4,1969,0.047,1969-04-01
World,5,1969,0.228,1969-05-01
World,6,1969,0.023,1969-06-01
World,7,1969,-0.065,1969-07-01
World,8,1969,0.042,1969-08-01
World,9,1969,-0.076,1969-09-01
World,10,1969,0.047,1969-10-01
World,11,1969,0.286,1969-11-01
World,12,1969,0.469,1969-12-01
World,1,1970,0.078,1970-01-01
World,2,1970,0.612,1970-02-01
World,3,1970,-0.043,1970-03-01
World,4,1970,0.357,1970-04-01
World,5,1970,0.16,1970-05-01
World,6,1970,0.18,1970-06-01
World,7,1970,0.055,1970-07-01
World,8,1970,0.11,1970-08-01
World,9,1970,-0.126,1970-09-01
World,10,1970,-0.144,1970-10-01
World,11,1970,0.132,1970-11-01
World,12,1970,-0.389,1970-12-01
World,1,1971,-0.05,1971-01-01
World,2,1971,-0.039,1971-02-01
World,3,1971,-0.006,1971-03-01
World,4,1971,-0.187,1971-04-01
World,5,1971,-0.015,1971-05-01
World,6,1971,-0.206,1971-06-01
World,7,1971,0.003,1971-07-01
World,8,1971,-0.067,1971-08-01
World,9,1971,0.008,1971-09-01
World,10,1971,-0.115,1971-10-01
